iter	Passed	Remaining
0	1	1264
1	2	1103
2	3	1040
3	3	995
4	4	976
5	5	964
6	6	961
7	7	947
8	8	940
9	9	934
10	10	940
11	13	1143
12	15	1139
13	15	1124
14	16	1110
15	17	1093
16	18	1075
17	19	1057
18	20	1041
19	20	1026
20	21	1013
21	22	1001
22	24	1038
23	25	1052
24	27	1059
25	27	1047
26	28	1035
27	29	1027
28	30	1017
29	31	1009
30	32	1000
31	32	992
32	33	984
33	34	977
34	35	969
35	36	971
36	37	970
37	39	1003
38	40	1008
39	42	1008
40	43	1007
41	43	1001
42	44	994
43	45	988
44	46	981
45	47	975
46	47	969
47	48	965
48	49	963
49	50	958
50	51	953
51	52	950
52	53	953
53	54	952
54	55	949
55	56	945
56	56	941
57	57	938
58	58	939
59	59	936
60	60	931
61	61	929
62	62	925
63	63	921
64	63	917
65	64	913
66	65	910
67	66	917
68	68	919
69	68	915
70	69	912
71	70	908
72	71	905
73	72	901
74	72	898
75	73	895
76	74	894
77	75	893
78	76	890
79	77	888
80	78	885
81	78	883
82	79	877
83	80	880
84	81	880
85	82	878
86	83	875
87	84	872
88	84	869
89	85	867
90	86	864
91	87	861
92	88	860
93	89	857
94	89	855
95	90	852
96	91	849
97	92	847
98	92	844
99	93	842
100	94	840
101	95	841
102	96	842
103	97	839
104	98	837
105	99	835
106	99	833
107	100	831
108	101	829
109	102	828
110	103	826
111	104	824
112	104	822
113	105	821
114	106	819
115	107	818
116	107	815
117	108	813
118	110	814
119	111	816
120	112	815
121	112	813
122	113	811
123	114	810
124	115	811
125	116	810
126	117	808
127	118	806
128	119	805
129	120	803
130	120	801
131	121	799
132	122	797
133	123	795
134	124	796
135	125	796
136	126	794
137	126	793
138	127	791
139	128	789
140	129	790
141	130	787
142	131	785
143	131	784
144	132	782
145	133	780
146	134	779
147	135	777
148	135	775
149	136	774
150	137	772
151	138	771
152	139	771
153	140	770
154	141	768
155	141	767
156	142	766
157	143	765
158	144	765
159	145	764
160	146	761
161	146	759
162	147	758
163	148	756
164	149	754
165	149	753
166	150	751
167	151	750
168	152	748
169	153	748
170	154	748
171	155	747
172	156	745
173	156	744
174	157	744
175	158	742
176	159	741
177	160	740
178	161	738
179	161	737
180	162	736
181	163	735
182	164	734
183	165	732
184	166	731
185	166	730
186	167	730
187	169	730
188	169	729
189	171	729
190	172	728
191	172	727
192	173	726
193	174	725
194	175	724
195	176	722
196	177	721
197	177	720
198	178	718
199	179	717
200	180	715
201	180	714
202	181	714
203	183	714
204	184	714
205	185	713
206	185	711
207	186	710
208	187	709
209	188	707
210	188	706
211	189	705
212	190	703
213	191	702
214	191	700
215	192	699
216	193	698
217	194	696
218	195	695
219	195	694
220	196	693
221	198	694
222	199	694
223	200	693
224	201	692
225	202	691
226	202	691
227	203	689
228	204	688
229	205	687
230	206	686
231	206	685
232	207	683
233	208	682
234	209	681
235	210	679
236	211	679
237	212	679
238	213	679
239	214	678
240	215	677
241	216	676
242	216	675
243	217	674
244	218	673
245	219	672
246	220	671
247	221	670
248	221	669
249	222	668
250	223	666
251	224	665
252	225	665
253	226	665
254	227	664
255	228	663
256	229	663
257	230	662
258	231	661
259	232	661
260	233	661
261	234	660
262	235	659
263	236	658
264	236	657
265	237	656
266	238	655
267	240	656
268	241	656
269	242	656
270	243	655
271	244	654
272	245	653
273	246	652
274	246	650
275	247	649
276	248	648
277	249	648
278	250	647
279	251	646
280	252	644
281	252	643
282	253	642
283	254	641
284	255	641
285	256	640
286	257	639
287	258	638
288	258	636
289	259	635
290	260	634
291	261	633
292	261	632
293	262	630
294	263	630
295	264	629
296	265	628
297	266	627
298	267	626
299	268	625
300	269	624
301	270	624
302	271	623
303	271	622
304	272	621
305	273	620
306	274	619
307	275	617
308	275	616
309	276	615
310	277	614
311	278	613
312	278	612
313	279	610
314	280	609
315	281	608
316	281	607
317	282	606
318	284	606
319	285	606
320	286	605
321	286	604
322	287	603
323	288	601
324	289	600
325	290	599
326	290	598
327	291	597
328	292	596
329	293	595
330	293	593
331	294	592
332	295	591
333	296	590
334	297	589
335	297	588
336	299	588
337	300	587
338	300	586
339	301	585
340	302	584
341	303	583
342	303	582
343	304	580
344	305	579
345	306	578
346	306	577
347	307	576
348	308	575
349	309	574
350	309	573
351	310	571
352	311	570
353	312	569
354	313	569
355	314	568
356	315	567
357	316	566
358	316	565
359	317	564
360	318	563
361	319	562
362	319	561
363	320	560
364	321	559
365	322	558
366	323	557
367	323	556
368	324	555
369	325	553
370	326	552
371	326	552
372	327	551
373	328	550
374	329	549
375	330	548
376	331	547
377	332	546
378	333	545
379	334	545
380	335	544
381	335	543
382	336	542
383	337	541
384	338	540
385	338	539
386	339	538
387	340	537
388	341	535
389	342	535
390	343	535
391	344	534
392	345	533
393	346	532
394	347	531
395	348	530
396	348	529
397	349	528
398	350	528
399	351	527
400	352	526
401	353	525
402	354	524
403	355	523
404	357	525
405	359	525
406	360	525
407	361	524
408	362	523
409	363	522
410	364	521
411	365	521
412	365	520
413	366	519
414	367	518
415	368	516
416	369	515
417	369	514
418	371	515
419	372	514
420	373	513
421	374	512
422	375	511
423	375	510
424	376	509
425	377	508
426	378	507
427	378	506
428	379	505
429	380	504
430	381	503
431	382	502
432	382	501
433	383	500
434	384	499
435	385	498
436	387	498
437	388	497
438	388	496
439	389	495
440	390	494
441	391	493
442	391	492
443	392	491
444	393	490
445	394	489
446	394	488
447	395	487
448	396	486
449	397	485
450	398	484
451	398	483
452	399	482
453	401	482
454	402	482
455	403	481
456	404	480
457	404	479
458	405	478
459	406	477
460	407	476
461	407	475
462	408	474
463	409	473
464	410	471
465	410	470
466	411	469
467	412	468
468	413	467
469	414	466
470	415	466
471	416	465
472	417	464
473	418	463
474	418	462
475	419	461
476	420	460
477	421	460
478	422	459
479	423	458
480	424	457
481	424	456
482	425	455
483	426	454
484	427	453
485	427	452
486	428	451
487	429	450
488	431	450
489	431	449
490	432	448
491	433	447
492	434	446
493	435	445
494	435	444
495	436	443
496	437	442
497	438	441
498	438	440
499	439	439
500	440	438
501	441	437
502	441	436
503	442	435
504	443	434
505	444	434
506	446	433
507	447	432
508	448	432
509	448	431
510	449	430
511	450	429
512	451	428
513	452	427
514	453	427
515	454	426
516	455	425
517	456	424
518	456	423
519	457	422
520	458	421
521	459	421
522	461	420
523	462	420
524	463	419
525	464	418
526	465	417
527	466	417
528	467	416
529	468	415
530	469	414
531	469	413
532	470	412
533	471	411
534	472	410
535	473	409
536	474	409
537	475	408
538	476	407
539	477	406
540	478	405
541	479	405
542	480	404
543	480	403
544	481	402
545	482	401
546	483	400
547	483	399
548	484	398
549	485	397
550	486	396
551	487	395
552	488	394
553	489	394
554	490	393
555	491	392
556	492	391
557	492	390
558	493	389
559	494	388
560	495	387
561	495	386
562	496	385
563	497	384
564	498	383
565	499	382
566	499	381
567	500	380
568	501	379
569	502	379
570	503	378
571	504	377
572	505	376
573	506	375
574	507	374
575	507	373
576	508	372
577	509	371
578	510	370
579	510	369
580	511	369
581	512	368
582	513	367
583	514	366
584	514	365
585	515	364
586	516	363
587	518	363
588	519	362
589	520	361
590	521	360
591	522	359
592	523	359
593	523	358
594	524	357
595	525	356
596	526	355
597	527	354
598	527	353
599	528	352
600	529	351
601	530	350
602	530	349
603	531	348
604	532	347
605	533	347
606	534	346
607	535	345
608	536	344
609	537	343
610	538	342
611	539	341
612	539	340
613	540	339
614	541	338
615	542	337
616	542	337
617	543	336
618	544	335
619	545	334
620	546	333
621	547	332
622	548	331
623	549	331
624	550	330
625	550	329
626	551	328
627	552	327
628	553	326
629	553	325
630	554	324
631	555	323
632	556	322
633	556	321
634	557	320
635	558	319
636	559	318
637	560	317
638	561	317
639	562	316
640	563	315
641	563	314
642	564	313
643	565	312
644	566	311
645	567	310
646	567	309
647	568	308
648	569	307
649	570	306
650	570	306
651	571	305
652	572	304
653	573	303
654	574	302
655	575	301
656	576	300
657	577	299
658	578	299
659	578	298
660	579	297
